epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,8503.67,0.7218,1.01996,0.6217,0.0056,0.43626,0.55213,0.81508,0.63582,0.53862,0.56319,0.81971,0.64579,0.52502,0.65014,0.93544,0.59604,0.00673,0,0.00011359,0.00011359,0.00011359
72,8622.48,0.72216,1.00282,0.60634,0.00567,0.42092,0.56276,0.80862,0.64946,0.55079,0.56635,0.81269,0.65616,0.53742,0.64364,0.93441,0.58645,0.00667,0,0.000109927,0.000109927,0.000109927
73,8742.15,0.71373,1.00008,0.60607,0.00558,0.43197,0.56481,0.82823,0.6508,0.55147,0.57001,0.83367,0.65909,0.53778,0.63961,0.93408,0.59663,0.00663,0,0.000106264,0.000106264,0.000106264
74,8864.34,0.71922,1.0063,0.61374,0.00562,0.43057,0.54809,0.80672,0.63372,0.53644,0.54697,0.80321,0.6352,0.52324,0.64244,0.92993,0.63443,0.0067,0,0.000102601,0.000102601,0.000102601
75,8987.83,0.71685,1.00204,0.61159,0.00564,0.4329,0.53963,0.81439,0.62984,0.53887,0.5484,0.82574,0.64125,0.5258,0.63528,0.93297,0.63482,0.00656,0,9.8938e-05,9.8938e-05,9.8938e-05
76,9107.95,0.7099,0.99071,0.60032,0.0056,0.4215,0.56284,0.81855,0.64728,0.55082,0.57056,0.83056,0.65755,0.53823,0.6392,0.9318,0.59208,0.00659,0,9.5275e-05,9.5275e-05,9.5275e-05
77,9226.3,0.70716,0.9888,0.58612,0.0055,0.40264,0.55747,0.803,0.65125,0.55599,0.56731,0.81635,0.66282,0.53922,0.6411,0.94686,0.58648,0.00662,0,9.1612e-05,9.1612e-05,9.1612e-05
78,9341.71,0.71773,0.99035,0.59926,0.00562,0.42592,0.56503,0.80428,0.64573,0.5508,0.57355,0.81678,0.65761,0.5374,0.63746,0.92657,0.59282,0.00656,0,8.7949e-05,8.7949e-05,8.7949e-05
79,9459.21,0.7057,0.97677,0.58617,0.00555,0.42398,0.54696,0.81697,0.63809,0.54557,0.55788,0.81879,0.65015,0.52971,0.63899,0.92813,0.61204,0.00659,0,8.4286e-05,8.4286e-05,8.4286e-05
80,9578.3,0.70541,0.99332,0.59254,0.00545,0.42746,0.5735,0.80396,0.6473,0.55234,0.58219,0.81649,0.65613,0.53738,0.63381,0.93705,0.58576,0.00653,0,8.0623e-05,8.0623e-05,8.0623e-05
81,9697.2,0.70941,0.99045,0.59173,0.00553,0.42071,0.5615,0.79729,0.6474,0.55243,0.57796,0.77218,0.65847,0.53894,0.6337,0.9243,0.60983,0.00659,0,7.696e-05,7.696e-05,7.696e-05
82,9816.83,0.69684,0.98848,0.58642,0.00545,0.41265,0.56838,0.84602,0.65311,0.55701,0.57539,0.85825,0.66536,0.54289,0.6333,0.92266,0.58079,0.00653,0,7.3297e-05,7.3297e-05,7.3297e-05
83,9936.36,0.70415,0.98087,0.58541,0.00544,0.42014,0.56082,0.79768,0.63992,0.54689,0.56965,0.81063,0.65058,0.53278,0.63759,0.93406,0.60664,0.00658,0,6.9634e-05,6.9634e-05,6.9634e-05
84,10057.7,0.69909,0.98376,0.58074,0.00537,0.42189,0.54666,0.81056,0.63541,0.54241,0.55183,0.81652,0.64346,0.52821,0.63365,0.92476,0.61787,0.00654,0,6.5971e-05,6.5971e-05,6.5971e-05
85,10177.2,0.69628,0.96839,0.58824,0.00542,0.41579,0.53588,0.81894,0.63231,0.54212,0.54309,0.82575,0.64364,0.52735,0.63449,0.93293,0.62572,0.00656,0,6.2308e-05,6.2308e-05,6.2308e-05
86,10296.7,0.69729,0.98411,0.58405,0.00532,0.41834,0.56973,0.83696,0.64884,0.5531,0.57811,0.84835,0.66016,0.53855,0.63686,0.93591,0.5849,0.00658,0,5.8645e-05,5.8645e-05,5.8645e-05
87,10417.6,0.69563,0.96498,0.5743,0.00543,0.4108,0.56535,0.84289,0.64796,0.55564,0.57544,0.83402,0.65995,0.53843,0.63225,0.92733,0.57909,0.00648,0,5.4982e-05,5.4982e-05,5.4982e-05
88,10538.1,0.69343,0.97501,0.57312,0.00534,0.40688,0.56155,0.78411,0.63952,0.54837,0.57529,0.79584,0.65078,0.53286,0.63426,0.93147,0.60367,0.00651,0,5.1319e-05,5.1319e-05,5.1319e-05
89,10658.6,0.69878,0.97652,0.57716,0.00531,0.39906,0.5447,0.8096,0.63549,0.5459,0.55133,0.82087,0.64643,0.52827,0.63313,0.93387,0.62158,0.00651,0,4.7656e-05,4.7656e-05,4.7656e-05
90,10777.5,0.69518,0.96493,0.56154,0.0054,0.39839,0.5639,0.8258,0.64463,0.55109,0.57226,0.8316,0.65613,0.5336,0.63437,0.9266,0.5869,0.00652,0,4.3993e-05,4.3993e-05,4.3993e-05
91,10871.4,0.6277,0.84762,0.44,0.00692,0.26196,0.57018,0.8223,0.65942,0.5624,0.59013,0.80085,0.66817,0.54267,0.64247,0.93606,0.57386,0.00665,0,4.033e-05,4.033e-05,4.033e-05
92,10960.1,0.61388,0.83156,0.42363,0.00663,0.24981,0.59879,0.80555,0.66522,0.56562,0.60692,0.81697,0.67486,0.54839,0.64238,0.92852,0.56183,0.00664,0,3.6667e-05,3.6667e-05,3.6667e-05
93,11049.2,0.60823,0.82793,0.4154,0.00654,0.24562,0.57924,0.82821,0.65938,0.56249,0.58725,0.84051,0.66999,0.54533,0.63794,0.92212,0.57193,0.00662,0,3.3004e-05,3.3004e-05,3.3004e-05
94,11138.8,0.59941,0.8145,0.40279,0.00633,0.2467,0.57591,0.83676,0.65788,0.56141,0.5841,0.84735,0.668,0.54334,0.63938,0.92871,0.57416,0.0066,0,2.9341e-05,2.9341e-05,2.9341e-05
95,11226,0.59877,0.81721,0.39969,0.00638,0.24133,0.57195,0.81889,0.65347,0.55874,0.58102,0.8277,0.66394,0.5401,0.63821,0.92735,0.57774,0.00659,0,2.5678e-05,2.5678e-05,2.5678e-05
96,11315,0.5977,0.81476,0.40063,0.00631,0.24402,0.58926,0.78809,0.65805,0.56289,0.59943,0.79795,0.66792,0.54275,0.63493,0.92424,0.5719,0.00655,0,2.2015e-05,2.2015e-05,2.2015e-05
97,11403.2,0.59747,0.8131,0.39388,0.00641,0.23837,0.58453,0.79285,0.65918,0.5627,0.59398,0.80503,0.66975,0.54387,0.63187,0.92748,0.57272,0.0065,0,1.8352e-05,1.8352e-05,1.8352e-05
98,11490.4,0.59312,0.81121,0.38758,0.00631,0.2389,0.58485,0.79036,0.65827,0.56251,0.59565,0.79981,0.66886,0.54408,0.63061,0.92291,0.57617,0.00648,0,1.4689e-05,1.4689e-05,1.4689e-05
99,11578.7,0.59203,0.80646,0.39148,0.00631,0.23888,0.56817,0.85388,0.65568,0.56067,0.57782,0.86201,0.66658,0.54174,0.63368,0.92663,0.5823,0.00652,0,1.1026e-05,1.1026e-05,1.1026e-05
100,11667.1,0.59491,0.81363,0.39381,0.00624,0.23778,0.59068,0.79485,0.65966,0.56402,0.60028,0.80715,0.67031,0.545,0.63221,0.92579,0.57298,0.0065,0,7.363e-06,7.363e-06,7.363e-06
